Core,Power,Frequency,Temperature,Utilization,InThrottleMode
0,1.67832,2000,64.77,0.22604,0
0,2.93823,3000,75.99,0.204082,0
0,4.82867,4000,97.01,0.19984,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.775643,1000,64.16,0.247036,0
0,1.66646,2000,64.58,0.222618,0
0,2.92105,3000,75.7,0.201939,0
0,4.78183,4000,96.35,0.197161,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.779002,1000,64.02,0.249004,0
0,1.66344,2000,64.49,0.222025,0
0,2.90495,3000,75.41,0.19984,0
0,4.80737,4000,96.63,0.198886,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.778809,1000,64.08,0.249252,0
0,1.67204,2000,64.59,0.223614,0
0,2.89735,3000,75.38,0.199362,0
0,4.78593,4000,96.35,0.197628,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.778973,1000,64.01,0.249004,0
0,1.66602,2000,64.51,0.222618,0
0,2.90794,3000,75.47,0.200481,0
0,4.73573,4000,95.71,0.194401,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.774317,1000,63.79,0.245821,0
0,1.66123,2000,64.36,0.221239,0
0,2.88454,3000,75.15,0.198098,0
0,4.74135,4000,95.77,0.19516,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.778331,1000,63.83,0.248262,0
0,1.6537,2000,64.28,0.219684,0
0,2.88024,3000,75.06,0.197628,0
0,4.70324,4000,95.27,0.192901,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.774207,1000,63.66,0.24558,0
0,1.64843,2000,64.15,0.218341,0
0,2.87528,3000,74.94,0.19685,0
0,4.6956,4000,95.09,0.192308,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.77752,1000,63.64,0.24777,0
0,1.65405,2000,64.19,0.219298,0
0,2.88323,3000,75.05,0.197785,0
0,4.65557,4000,94.57,0.189681,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.774144,1000,63.47,0.245098,0
0,1.64315,2000,64.01,0.217202,0
0,2.85215,3000,74.62,0.194553,0
0,4.64567,4000,94.34,0.189107,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.770881,1000,63.37,0.243902,0
0,1.64565,2000,64.01,0.21777,0
0,2.84909,3000,74.54,0.193949,0
0,4.66421,4000,94.57,0.190404,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.769243,1000,63.4,0.242483,0
0,1.6406,2000,63.94,0.21645,0
0,2.81932,3000,74.19,0.191132,0
0,4.63563,4000,94.12,0.188679,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.768114,1000,63.26,0.241546,0
0,1.63197,2000,63.78,0.214408,0
0,2.83196,3000,74.28,0.192308,0
0,4.6219,4000,93.95,0.187829,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.76562,1000,63.18,0.239693,0
0,1.63779,2000,63.83,0.215889,0
0,2.83812,3000,74.35,0.192901,0
0,4.6443,4000,94.23,0.188964,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.770225,1000,63.31,0.242954,0
0,1.63714,2000,63.87,0.215889,0
0,2.83548,3000,74.33,0.192604,0
0,4.59408,4000,93.61,0.18615,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.768796,1000,63.12,0.24108,0
0,1.6307,2000,63.7,0.213858,0
0,2.81706,3000,74.06,0.190694,0
0,4.59888,4000,93.51,0.186012,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.768175,1000,63.09,0.24108,0
0,1.61508,2000,63.5,0.210438,0
0,2.80431,3000,73.84,0.189251,0
0,4.56952,4000,93.14,0.184502,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.76494,1000,62.96,0.239234,0
0,1.63281,2000,63.68,0.214592,0
0,2.81231,3000,73.96,0.18997,0
0,4.53952,4000,92.84,0.183016,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.766389,1000,62.9,0.239923,0
0,1.61923,2000,63.48,0.211327,0
0,2.78344,3000,73.58,0.187266,0
0,4.55268,4000,92.89,0.183688,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.76293,1000,62.85,0.237643,0
0,1.60896,2000,63.33,0.20903,0
0,2.78342,3000,73.49,0.186846,0
0,4.50476,4000,92.29,0.181028,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.762846,1000,62.7,0.237643,0
0,1.61451,2000,63.36,0.210615,0
0,2.80448,3000,73.73,0.188964,0
0,4.54298,4000,92.77,0.183016,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.76543,1000,62.84,0.238777,0
0,1.62697,2000,63.54,0.212947,0
0,2.7831,3000,73.51,0.186567,0
0,4.48594,4000,92.03,0.179727,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.764041,1000,62.65,0.23855,0
0,1.61779,2000,63.37,0.21097,0
0,2.79355,3000,73.62,0.18797,0
0,4.47802,4000,91.94,0.179211,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.765649,1000,62.63,0.238777,0
0,1.61534,2000,63.32,0.210438,0
0,2.77911,3000,73.42,0.186428,0
0,4.49728,4000,92.06,0.180115,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.766406,1000,62.66,0.239234,0
0,1.61986,2000,63.38,0.211327,0
0,2.77419,3000,73.39,0.186012,0
0,4.50358,4000,92.15,0.180505,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.764504,1000,62.66,0.237643,0
0,1.61058,2000,63.28,0.20938,0
0,2.77124,3000,73.33,0.185736,0
0,4.46532,4000,91.69,0.178317,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.766342,1000,62.57,0.239234,0
0,1.60474,2000,63.18,0.20816,0
0,2.76656,3000,73.24,0.185322,0
0,4.45022,4000,91.48,0.177557,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.762177,1000,62.46,0.236518,0
0,1.60232,2000,63.11,0.207641,0
0,2.7547,3000,73.05,0.183824,0
0,4.46766,4000,91.59,0.178317,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.761788,1000,62.47,0.235849,0
0,1.60282,2000,63.1,0.207469,0
0,2.74618,3000,72.96,0.18315,0
0,4.45549,4000,91.43,0.177683,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.766428,1000,62.5,0.239923,0
0,1.6001,2000,63.08,0.206954,0
0,2.74291,3000,72.91,0.182749,0
0,4.44592,4000,91.3,0.177054,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.761773,1000,62.41,0.236967,0
0,1.59896,2000,63.03,0.206612,0
0,2.73008,3000,72.75,0.181554,0
0,4.42939,4000,91.06,0.17618,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.762068,1000,62.34,0.236518,0
0,1.58992,2000,62.89,0.204583,0
0,2.72921,3000,72.67,0.181159,0
0,4.38959,4000,90.55,0.173974,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.764726,1000,62.22,0.237643,0
0,1.59407,2000,62.9,0.205592,0
0,2.73517,3000,72.73,0.181818,0
0,4.414,4000,90.82,0.17507,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.759016,1000,62.23,0.234302,0
0,1.58793,2000,62.81,0.203749,0
0,2.73655,3000,72.72,0.181818,0
0,4.44934,4000,91.28,0.177305,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.765679,1000,62.43,0.239006,0
0,1.60225,2000,63.04,0.206782,0
0,2.7481,3000,72.94,0.18315,0
0,4.42309,4000,91.04,0.175932,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.761501,1000,62.33,0.236072,0
0,1.60298,2000,63.04,0.207469,0
0,2.72898,3000,72.65,0.180766,0
0,4.42044,4000,90.87,0.175439,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.759927,1000,62.25,0.234742,0
0,1.59656,2000,62.92,0.205761,0
0,2.71277,3000,72.42,0.179083,0
0,4.36605,4000,90.15,0.172295,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.760208,1000,62.07,0.234962,0
0,1.59951,2000,62.9,0.206441,0
0,2.7284,3000,72.59,0.180766,0
0,4.37814,4000,90.39,0.17325,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.758095,1000,62.11,0.233645,0
0,1.59238,2000,62.81,0.20475,0
0,2.72462,3000,72.55,0.180505,0
0,4.39369,4000,90.51,0.173974,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.759553,1000,62.15,0.234522,0
0,1.59179,2000,62.83,0.20475,0
0,2.73684,3000,72.7,0.181686,0
0,4.38941,4000,90.48,0.173611,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.759512,1000,62.15,0.234742,0
0,1.59352,2000,62.86,0.205255,0
0,2.70973,3000,72.4,0.179083,0
0,4.37738,4000,90.26,0.172891,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.759579,1000,62.09,0.234742,0
0,1.58781,2000,62.77,0.204082,0
0,2.71685,3000,72.43,0.179598,0
0,4.41743,4000,90.82,0.175439,1
1,0.402758,1000,47.48,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
